Restaurant,SubCategory,Item,Calories
Taco Bell,Soda,Diet Pepsi 40 oz,0
Taco Bell,Soda,Dr Pepper 16 oz,200
Taco Bell,Soda,Dr Pepper 20 oz,250
Taco Bell,Soda,Dr Pepper 30 oz,380
Taco Bell,Soda,Dr Pepper 40 oz,500
Taco Bell,Soda,Manzanita Sol 16 oz,220
Taco Bell,Soda,Manzanita Sol 20 oz,280
Taco Bell,Soda,Manzanita Sol 30 oz,410
Taco Bell,Soda,Manzanita Sol 40 oz,550
Taco Bell,Soda,Mountain Dew 16 oz,220
Taco Bell,Soda,Mountain Dew 20 oz,280
Taco Bell,Soda,Mountain Dew 30 oz,410
Taco Bell,Soda,Mountain Dew 40 oz,550
Taco Bell,Soda,Mountain Dew Baja Blast 16 oz,220
Taco Bell,Soda,Mountain Dew Baja Blast 20 oz,280
Taco Bell,Soda,Mountain Dew Baja Blast 30 oz,410
Taco Bell,Soda,Mountain Dew Baja Blast 40 oz,550
Taco Bell,Soda,Mountain Dew Baja Blast Freeze 16 oz,200
Taco Bell,Soda,Mountain Dew Baja Blast Freeze 20 oz,250
Taco Bell,Soda,Mountain Dew Kickstart Orange Citrus 16 oz,80
Taco Bell,Soda,Mountain Dew Kickstart Orange Citrus 20 oz,100
Taco Bell,Soda,Mountain Dew Kickstart Orange Citrus 30 oz,150
Taco Bell,Soda,Mountain Dew Kickstart Orange Citrus 40 oz,200
Taco Bell,Soda,Mountain Dew Sangria Blast 16 oz,220
Taco Bell,Soda,Mountain Dew Sangria Blast 20 oz,280
Taco Bell,Soda,Mountain Dew Sangria Blast 30 oz,410
Taco Bell,Soda,Mountain Dew Sangria Blast 40 oz,550
Taco Bell,Soda,MUG Root Beer 16 oz,200
Taco Bell,Soda,MUG Root Beer 20 oz,250
Taco Bell,Soda,MUG Root Beer 30 oz,380
Taco Bell,Soda,MUG Root Beer 40 oz,500
Taco Bell,Soda,Pepsi 16 oz,200
Taco Bell,Soda,Pepsi 20 oz,250
Taco Bell,Soda,Pepsi 30 oz,380
Taco Bell,Soda,Pepsi 40 oz,500
Taco Bell,Soda,Sierra Mist 16 oz,200
Taco Bell,Soda,Sierra Mist 20 oz,250
Taco Bell,Soda,Sierra Mist 30 oz,380
