Restaurant,Category,SubCategory,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Arby's,Sandwich,Sandwich,"Roast Turkey, Ranch & Bacon Sandwich",800,320,36,9,1,105,2200,78,5,18,45
Arby's,Sandwich,Sandwich,Buttermilk Buffalo Chicken Sandwich,540,220,24,4.5,0,60,2110,53,2,6,29
Arby's,Sandwich,Sandwich,Buttermilk Chicken Bacon & Swiss,650,280,31,9,0,90,1750,56,2,9,39
Arby's,Sandwich,Sandwich,Buttermilk Chicken Cordon Bleu Sandwich,690,310,35,10,0,110,2000,53,1,7,41
Arby's,Sandwich,Sandwich,Buttermilk Crispy Chicken Sandwich,550,230,26,4.5,0,60,1480,52,2,6,29
Arby's,Sandwich,Sandwich,Chicken Bacon & Swiss – Crispy,610,270,30,7,0,75,1400,51,3,8,33
Arby's,Sandwich,Sandwich,Chicken Cordon Bleu – Crispy,620,280,32,7,0,90,1710,48,3,6,37
Arby's,Sandwich,Sandwich,Crispy Chicken Sandwich,540,240,27,4.5,0,55,990,48,3,8,27
Arby's,Sandwich,Sandwich,Bourbon Bacon & Brisket Sandwich,710,360,40,15,1,125,1610,48,2,12,43
Arby's,Sandwich,Sandwich,Bourbon Bacon & Steak Sandwich,590,240,26,11,0.5,95,1870,48,2,12,40
Arby's,Sandwich,Sandwich,Bourbon Bacon & Turkey Sandwich,580,230,25,10,0.5,90,2110,50,2,13,40
Arby's,Sandwich,Sandwich,Brown Sugar Bacon 1/2 Lb. Club Sandwich,710,230,26,12,0,175,2930,60,2,29,59
Arby's,Sandwich,Sandwich,Brown Sugar Bacon BLT Sandwich,660,320,35,11,0,100,1210,58,2,29,29
Arby's,Sandwich,Sandwich,Brown Sugar Bacon Roast Beef Sandwich,580,240,26,13,1,120,1300,54,2,23,34
Arby's,Sandwich,Sandwich,Brown Sugar Bacon Turkey Sandwich,510,150,17,9,0,105,1530,54,2,24,35
Arby's,Sandwich,Sandwich,Chicago-Style Beef Dip,560,210,23,11,1,85,2730,53,3,4,35
Arby's,Sandwich,Sandwich,Fire-Roasted Philly Sandwich,640,290,32,11,0.5,105,1950,46,3,4,42
Arby's,Sandwich,Sandwich,French Dip & Swiss/Au Jus,430,130,14,6,1,55,2120,52,2,3,26
Arby's,Sandwich,Sandwich,Italian Meatball Sub,820,420,47,20,0,115,2260,57,4,7,39
Arby's,Sandwich,Sandwich,Loaded Italian Sandwich,680,360,40,14,0.5,100,2270,49,3,7,32
Arby's,Sandwich,Sandwich,Meat Mountain Sandwich,1030,460,51,20,1.5,225,3640,58,2,8,87
Arby's,Sandwich,Sandwich,Smoke Mountain Sandwich,800,410,46,18,1,135,1910,50,2,13,49
Arby's,Sandwich,Sandwich,Smokehouse Brisket,610,320,35,12,1,110,1230,42,3,7,35
Arby's,Sandwich,Sandwich,Smokehouse Pork Belly Sandwich,860,550,61,23,0.5,105,1540,49,2,13,29
Arby's,Sandwich,Sandwich,Smokehouse Turkey Sandwich,500,210,24,8,0,65,1340,44,2,6,31
Arby's,Sandwich,Sandwich,Turkey Gyro,450,150,17,3,0,50,1560,48,3,6,26
Arby's,Sandwich,Sandwich,Grand Turkey Club,490,220,24,8,0,75,1440,38,2,8,29
Arby's,Sandwich,Sandwich,Angus Philly,590,270,29,9,1,85,1760,48,3,4,34
Arby's,Sandwich,Sandwich,Angus Three Cheese & Bacon Sandwich,640,300,33,12,1,105,1820,45,2,3,41
Arby's,Sandwich,Wrap,Roast Turkey & Swiss Wrap,500,220,24,6,1,80,1500,43,8,6,35
Arby's,Sandwich,Wrap,"Roast Turkey, Ranch & Bacon Wrap",600,290,32,9,1,105,1940,44,8,6,41
Arby's,Side,Fries,Curly Fries – Kids,240,120,13,2,0,0,540,28,3,0,3
Arby's,Side,Fries,Homestyle Fries – Kids,240,100,11,2,0,0,490,33,3,0,3
Arby's,Side,Fries,Curly Fries Large,630,310,35,5,0,0,1420,74,8,0,7
Arby's,Side,Fries,Curly Fries Medium,540,260,29,4,0,0,1200,62,7,0,6
Arby's,Side,Fries,Curly Fries Small,400,200,22,3,0,0,900,47,5,0,5
Arby's,Side,Fries,Homestyle Fries Large,610,250,28,4,0,0,1220,82,8,1,7
Arby's,Side,Fries,Homestyle Fries Medium,480,200,22,3,0,0,980,66,7,1,6
Arby's,Side,Fries,Homestyle Fries Small,360,150,17,3,0,0,730,49,5,1,4
Arby's,Side,Fries,Loaded Curly Fries,700,420,46,9,0,35,1990,57,5,2,14
Arby's,Side,Fries,Curly Fries – Value,240,120,13,2,0,0,540,28,3,0,3
Arby's,Side,Fruit,GoGo SqueeZ Applesauce,60,0,0,0,0,0,20,15,1,12,0
Arby's,Side,Mozzarella Sticks,Mozzarella Sticks 4 Piece,420,190,21,9,1,50,1690,35,2,4,21
Arby's,Side,Mozzarella Sticks,Mozzarella Sticks 6 Piece,620,290,32,13,1,75,2530,52,3,6,32
Arby's,Side,Onion Rings,Steakhouse Onion Rings (5),410,180,20,3,0,0,1690,51,3,6,6
Arby's,Side,Other,Jalapeno Bites 5 Piece,280,140,16,6,0,25,600,31,2,3,5
Arby's,Side,Other,Jalapeno Bites 8 Piece,460,230,25,10,1,45,970,49,4,4,8
Arby's,Side,Potato,Potato Cakes 2 Piece,230,120,14,2,0,0,460,25,3,0,2
Arby's,Side,Potato,Potato Cakes 3 Piece,340,180,20,4,0,0,700,37,4,0,3
Arby's,Side,Potato,Potato Cakes 4 Piece,460,240,27,5,0,0,930,50,5,0,3
Burger King,Beverage,Coffee,Iced Coffee Caramel,170,70,7,4.5,0,15,50,23,0,23,0
Burger King,Beverage,Coffee,Iced Coffee Regular,160,70,7,4.5,0,15,45,19,0,19,0
Burger King,Beverage,Coffee,Iced Coffee Vanilla,180,70,7,4.5,0,15,45,24,0,24,0
Burger King,Beverage,Coffee,Latte Caramel,320,50,6,6,0,0,250,66,0,48,3
Burger King,Beverage,Coffee,Latte Mocha,210,35,4,4,0,0,170,42,0,28,2
Burger King,Beverage,Coffee,Latte Regular,180,50,6,6,0,0,250,31,0,12,3
Burger King,Beverage,Coffee,Latte Vanilla,320,50,6,6,0,0,250,67,0,47,3
Burger King,Beverage,Coffee,Nonfat Latte Caramel,300,0,0,0,0,0,220,66,0,51,6
Burger King,Beverage,Coffee,Nonfat Latte Mocha,160,0,0,0,0,0,170,41,0,29,3
Burger King,Beverage,Coffee,Nonfat Latte Regular,150,0,0,0,0,0,220,31,0,15,6
Burger King,Beverage,Coffee,Nonfat Latte Vanilla,300,0,0,0,0,0,220,67,0,50,6
Burger King,Beverage,Coffee,Seattle's Best Coffee® - Decaf,0,0,0,0,0,0,0,0,0,0,0
Burger King,Beverage,Coffee,Seattle's Best Coffee® - Regular,0,0,0,0,0,0,0,0,0,0,0
Burger King,Beverage,Hot Chocolate,Hot Chocolate,230,25,3,2,0,0,290,52,1,41,3
Burger King,Beverage,Iced Tea,Peach Tea,100,0,0,0,0,0,0,23,0,23,0
Burger King,Beverage,Iced Tea,Sweet Tea,120,0,0,0,0,0,0,35,0,35,0
Burger King,Beverage,Iced Tea,Unsweetened Tea,0,0,0,0,0,0,0,0,0,0,0
Burger King,Beverage,Juice,Capri Sun® 100% Apple Juice,80,0,0,0,0,0,25,20,0,20,0
Burger King,Beverage,Juice,Hi-C Fruit Punch,200,0,0,0,0,0,15,55,0,55,0
Burger King,Beverage,Juice,Minute Maid Light Lemonade,10,0,0,0,0,0,0,1,0,0,0
Burger King,Beverage,Juice,Minute Maid Orange Juice,140,0,0,0,0,0,20,33,0,30,2
Burger King,Beverage,Milk,1% Low Fat Chocolate Milk,160,25,3,2,0,15,150,26,0,25,8
Burger King,Beverage,Milk,Fat Free Milk,90,0,0,0,0,5,125,13,0,12,9
Burger King,Beverage,Shake,Chocolate Milk Shake,690,160,18,14,0,40,380,121,2,107,12
Burger King,Beverage,Shake,Strawberry Banana Smoothie,310,5,1,0,0,0,35,73,2,60,2
Burger King,Beverage,Shake,Strawberry Milk Shake,610,150,17,13,0,40,390,102,1,91,12
Burger King,Beverage,Shake,Tropical Mango Smoothie,330,10,1,0,0,0,65,78,2,63,3
Burger King,Beverage,Shake,Vanilla Milk Shake,660,150,17,13,0,40,380,114,0,104,12
Burger King,Beverage,Shake,BK Caramel Frappe,510,200,22,12,0,5,300,72,0,49,4
Burger King,Beverage,Shake,BK Mocha Frappe,510,200,22,12,0,5,300,72,0,49,4
Burger King,Beverage,Slush,Frozen Coke,110,0,0,0,0,0,10,31,0,31,0
